Date,Cash Price,Basis,Fall Price,Fall Basis
2001-08-09,5.03,-0.03,4.81,-0.25
2001-08-10,5.09,-0.03,4.87,-0.25
2001-08-13,5.15,-0.03,4.93,-0.25
2001-08-14,5.05,-0.03,4.83,-0.25
2001-08-15,5.1,-0.03,4.88,-0.25
2001-08-16,4.97,-0.03,4.75,-0.25
2001-08-17,5.0,-0.03,4.78,-0.25
2001-08-20,4.84,-0.03,4.62,-0.25
2001-08-21,4.9,-0.03,4.68,-0.25
2001-08-22,4.85,-0.02,4.62,-0.25
2001-08-23,4.81,-0.02,4.58,-0.25
2001-08-24,4.77,-0.02,4.54,-0.25
2001-08-27,4.8,-0.02,4.57,-0.25
2001-08-28,4.77,-0.02,4.54,-0.25
2001-08-29,4.84,-0.02,4.61,-0.25
2001-08-30,4.73,-0.08,4.56,-0.25
2001-08-31,4.78,-0.08,4.61,-0.25
2001-09-04,4.71,-0.14,4.65,-0.25
2001-09-05,4.64,-0.15,4.61,-0.25
2001-09-06,4.49,-0.22,4.57,-0.25
2001-09-07,4.48,-0.22,4.53,-0.25
2001-09-10,4.48,-0.22,4.55,-0.25
2001-09-12,4.41,-0.22,4.55,-0.25
2001-09-13,4.59,-0.23,4.62,-0.25
2001-09-14,4.51,-0.23,4.55,-0.25
2001-09-17,4.57,-0.23,4.59,-0.25
2001-09-18,4.53,-0.22,4.56,-0.25
2001-09-19,4.48,-0.22,4.52,-0.25
2001-09-20,4.52,-0.22,4.57,-0.25
2001-09-21,4.48,-0.22,4.56,-0.25
2001-09-24,4.46,-0.22,4.58,-0.25
2001-09-25,4.42,-0.22,4.56,-0.25
2001-09-26,4.42,-0.23,4.59,-0.25
2001-09-27,4.39,-0.23,4.57,-0.25
2001-09-28,4.29,-0.23,4.48,-0.23
2001-10-01,4.29,-0.23,4.47,-0.25
2001-10-02,4.3,-0.23,4.47,-0.25
2001-10-03,4.28,-0.24,4.46,-0.25
2001-10-04,4.27,-0.24,4.45,-0.25
2001-10-05,4.29,-0.24,4.44,-0.25
2001-10-08,4.3,-0.24,4.47,-0.25
2001-10-09,4.28,-0.24,4.44,-0.25
2001-10-10,4.25,-0.24,4.42,-0.25
2001-10-11,4.24,-0.24,4.4,-0.25
2001-10-12,4.12,-0.24,4.31,-0.25
2001-10-15,4.06,-0.24,4.25,-0.25
2001-10-16,4.09,-0.22,4.26,-0.25
2001-10-17,4.12,-0.22,4.3,-0.25
2001-10-18,4.09,-0.22,4.27,-0.25
2001-10-19,4.03,-0.22,4.23,-0.25
2001-10-22,3.99,-0.22,4.21,-0.25
2001-10-23,3.99,-0.22,4.22,-0.25
2001-10-24,4.03,-0.22,4.26,-0.25
2001-10-25,4.07,-0.22,4.29,-0.25
2001-10-26,4.05,-0.22,4.24,-0.25
2001-10-29,4.06,-0.21,4.26,-0.25
2001-10-30,4.11,-0.21,4.33,-0.25
